City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,bubaque,11.2833,-15.8333,302.01,55,3,3.41,GW,1699890620
174,remire-montjoly,4.9167,-52.2667,305.17,51,0,4.12,GF,1699890621
175,'ohonua,4.9167,-52.2667,305.17,51,0,4.12,GF,1699890621
176,kerikeri,-35.2268,173.9474,284.6,85,100,1.27,NZ,1699890621
177,sete lagoas,-19.4658,-44.2467,309.75,20,7,2.92,BR,1699890622
178,port alfred,-33.5906,26.891,289.36,92,88,0.89,ZA,1699890622
179,port elizabeth,-33.918,25.5701,291.31,72,75,4.12,ZA,1699890623
180,maua,-23.6678,-46.4614,309.31,29,62,1.77,BR,1699890623
181,nova sintra,14.8667,-24.7167,296.83,68,24,5.94,CV,1699890624
182,bintulu,3.1667,113.0333,298.38,94,20,1.03,MY,1699890624
183,ust'-ilimsk,58.0006,102.6619,266.73,80,100,4.02,RU,1699890625
184,vorgashor,67.5833,63.95,254.83,100,95,2.19,RU,1699890625
185,dryden,49.7833,-92.7503,275.31,75,100,5.14,CA,1699890626
186,richards bay,-28.783,32.0377,291.58,83,100,0.78,ZA,1699890626
187,burang,30.25,81.1667,269.86,89,69,2.19,CN,1699890626
188,fernley,39.608,-119.2518,284.18,25,30,1.3,US,1699890627
189,marco,25.9726,-81.729,298.16,83,100,4.12,US,1699890627
190,lubango,-14.9172,13.4925,293.59,66,100,3.09,AO,1699890627
191,markaz-e hukumat-e darweshan,31.1323,64.1934,290.15,25,0,0.51,AF,1699890628
192,taltal,-25.4,-70.4833,292.41,65,14,4.6,CL,1699890628
193,prado,-17.3411,-39.2208,302.0,62,31,8.25,BR,1699890384
194,olonkinbyen,70.9221,-8.7187,270.57,70,100,3.08,SJ,1699890629
195,meadow lakes,61.6247,-149.6011,274.77,95,100,1.54,US,1699890629
196,mount isa,-20.7333,139.5,294.02,68,6,0.0,AU,1699890629
197,yangor,-20.7333,139.5,294.02,68,6,0.0,AU,1699890629
198,ust-nera,64.5667,143.2,243.33,99,78,1.6,RU,1699890630
199,riachao,-7.3619,-46.6172,310.31,21,19,2.66,BR,1699890630
200,kulhudhuffushi,6.6221,73.07,300.81,76,92,1.72,MV,1699890631
201,azemmour,33.2895,-8.3425,297.89,50,88,4.75,MA,1699890631
202,moyynkum,44.2914,72.9469,278.1,62,0,4.71,KZ,1699890631
203,kataragama,44.2914,72.9469,278.1,62,0,4.71,KZ,1699890631
204,port-vila,-17.7338,168.3219,294.93,94,75,6.69,VU,1699890632
205,aasiaat,68.7098,-52.8699,262.1,89,100,1.6,GL,1699890632
206,alta,69.9689,23.2717,258.74,78,0,3.09,NO,1699890632
207,minggang,32.4586,114.0486,278.02,58,0,1.91,CN,1699890633
208,bardaskan,32.4586,114.0486,278.02,58,0,1.91,CN,1699890633
209,iskateley,67.6803,53.1512,265.38,97,100,4.02,RU,1699890633
210,beledweyne,4.7358,45.2036,301.86,64,97,6.85,SO,1699890633
211,taco pozo,-25.6167,-63.2833,291.35,62,100,4.95,AR,1699890634
212,fuvahmulah,-25.6167,-63.2833,291.35,62,100,4.95,AR,1699890634
213,virton,49.5682,5.5326,288.47,97,100,9.58,BE,1699890634
214,severo-yeniseyskiy,60.3725,93.0408,269.03,98,100,0.89,RU,1699890634
215,miramichi,47.0043,-65.4654,275.94,52,7,0.93,CA,1699890635
